A,B,C,D,E
RFSD02124,4038094689,19763557,1,Running
RFSD02125,4038100069,19763558,1,Running
RFSD02126,4038102379,19763559,1,Running
RFSD02127,4038094737,19763560,1,Running
RFSD02128,4038094912,19763561,1,Running
RFSD02129,4038082554,19763562,1,Running
RFSD02130,4038082722,19763563,1,Running
RFSD02131,4038082712,19763564,1,Running
RFSD02132,4038082684,19763565,1,Running
RFSD02133,4038092300,19763566,1,Running
RFSD02134,4038092028,19763567,1,Running
RFSD02135,4038092038,19763568,1,Running
RFSD02136,4038091925,19763569,1,Running
RFSD02137,4038093691,19763570,1,Running
RFSD02138,4038093866,19763571,1,Running
RFSD02139,4038095152,19763572,1,Running
RFSD02140,4038086562,19763573,1,Running
RFSD02141,4038095148,19763574,1,Running
RFSD02142,4038094958,19763575,1,Running
RFSD02143,4038093899,19763576,1,Running
RFSD02144,4038095167,19763577,1,Running
RFSD02145,4038082221,19763578,1,Running
RFSD02146,4038093945,19763579,1,Running
RFSD02147,4038093926,19763580,1,Running
RFSD02148,4038082716,19763581,1,Running
RFSD02149,4038083622,19763582,1,Running
RFSD02150,4038083593,19763583,1,Running
RFSD02151,4038083621,19763584,1,Running
RFSD02152,4038092049,19763585,1,Running
RFSD02153,4038094416,19763586,1,Running
RFSD02154,4038093933,19763587,1,Running
RFSD02155,4038083519,19763588,1,Running
RFSD02156,4038094705,19763589,1,Running
RFSD02157,4038094940,19763590,1,Running
RFSD02158,4038092348,19763591,1,Running
RFSD02160,4038086543,19763593,1,Running
RFSD02161,4038095150,19763594,1,Running
RFSD02162,4038095143,19763595,1,Running
RFSD02163,4038095123,19763596,1,Running
RFSD02164,4038091994,19763597,1,Running
RFSD02165,4038083607,19763598,1,Running
RFSD02166,4038083612,19763599,1,Running
RFSD02167,4038083606,19763600,1,Running
RFSD02168,4038093818,19763601,1,Running
RFSD02169,4038090829,19763602,1,Running
RFSD02170,4038083579,19763603,1,Running
RFSD02171,4038083600,19763604,1,Running
RFSD02172,4038082203,19763605,1,Running
RFSD02173,4038083577,19763606,1,Running
RFSD02176,4038082178,19763609,1,Running
RFSD02177,4038092343,19763610,1,Running
RFSD02178,4038082587,19763611,1,Running
RFSD02179,4038082520,19763612,1,Running
RFSD02181,4038082608,19763614,1,Running
RFSD02183,4038083632,19763616,1,Running
RFSD02184,4038093930,19763617,1,Running
RFSD02185,4038092332,19763618,1,Running
RFSD02186,4038092339,19763619,1,Running
RFSD02187,4038082369,19763620,1,Running
RFSD02188,4038082616,19763621,1,Running
RFSD02189,4038092327,19763622,1,Running
RFSD02190,4038095136,19763623,1,Running
RFSD02191,4038083613,19763624,1,Running
RFSD02192,4038083718,19763625,1,Running
RFSD02193,4038092318,19763626,1,Running
RFSD02194,4038092322,19763627,1,Running
RFSD02195,4038083627,19763628,1,Running
RFSD02196,4038082618,19763629,1,Running
RFSD02199,4038092325,19763632,1,Running
RFSD02200,4038082682,19763633,1,Running
RFSD02201,4038092333,19763634,1,Running
RFSD02202,4038092330,19763635,1,Running
RFSD02203,4038083616,19763636,1,Running
RFSD02204,4038086530,19763637,1,Running
RFSD02205,4038082370,19763638,1,Running
RFSD02206,4038092331,19763639,1,Running
RFSD02207,4038082368,19763640,1,Running
RFSD02208,4038082790,19763641,1,Running
RFSD02209,4038082379,19763642,1,Running
RFSD02210,4038092334,19763643,1,Running
RFSD02211,4038083461,19763644,1,Running
RFSD02213,4038082645,19763646,1,Running
RFSD02214,4038092310,19763647,1,Running
RFSD02215,4038092319,19763648,1,Running
RFSD02216,4038083594,19763649,1,Running
RFSD02217,4038093837,19763650,1,Running
RFSD02218,4038083567,19763651,1,Running
RFSD02219,4038092323,19763652,1,Running
RFSD02220,4038093814,19763653,1,Running
RFSD02221,4038092329,19763654,1,Running
RFSD02222,4038083618,19763655,1,Running
RFSD02223,4038082380,19763656,1,Running
RFSD02224,4038094509,19763657,1,Running
RFSD02225,4038100054,19763658,1,Running
RFSD02226,4038094729,19763659,1,Running
RFSD02227,4038094419,19763660,1,Running
RFSD02228,4038094530,19763661,1,Running
RFSD02229,4038094735,19763662,1,Running
RFSD02230,4038100121,19763663,1,Running
RFSD02231,4038093840,19763664,1,Running
RFSD02232,4038082377,19763665,1,Running
RFSD02233,4038082355,19763666,1,Running
RFSD02234,4038091943,19763667,1,Running
RFSD02235,4038086533,19763668,1,Running
RFSD02236,4038092344,19763669,1,Running
RFSD02237,4038082376,19763670,1,Running
RFSD02238,4038082390,19763671,1,Running
RFSD02239,4038091883,19763672,1,Running
RFSD02240,4038092309,19763673,1,Running
RFSD02242,4038082381,19763675,1,Running
RFSD02243,4038091957,19763676,1,Running
RFSD02244,4038082373,19763677,1,Running
RFSD02245,4038082193,19763678,1,Running
RFSD02246,4038092320,19763679,1,Running
RFSD02247,4038092354,19763680,1,Running
RFSD02248,4038093823,19763681,1,Running
RFSD02249,4038092351,19763682,1,Running
RFSD02250,4038082689,19763683,1,Running
RFSD02251,4038082658,19763684,1,Running
RFSD02252,4038095163,19763685,1,Running
RFSD02253,4038093825,19763686,1,Running
RFSD02254,4038082665,19763687,1,Running
RFSD02255,4038082674,19763688,1,Running
RFSD02256,4038082391,19763689,1,Running
RFSD02258,4038082688,19763691,1,Running
RFSD02259,4038082673,19763692,1,Running
RFSD02260,4038095146,19763693,1,Running
RFSD02261,4038082678,19763694,1,Running
RFSD02262,4038082681,19763695,1,Running
RFSD02264,4038083614,19763697,1,Running
RFSD02265,4038092340,19763698,1,Running
RFSD02266,4038082685,19763699,1,Running
RFSD02267,4038082693,19763700,1,Running
RFSD02268,4038082672,19763701,1,Running
RFSD02269,4038082675,19763702,1,Running
RFSD02270,4038082686,19763703,1,Running
RFSD02271,4038082666,19763704,1,Running
RFSD02272,4038083615,19763705,1,Running
RFSD02273,4038092015,19763706,1,Running
RFSD02274,4038092298,19763707,1,Running
RFSD02275,4038082692,19763708,1,Running
RFSD02276,4038082619,19763709,1,Running
RFSD02277,4038082696,19763710,1,Running
RFSD02278,4038082365,19763711,1,Running
RFSD02279,4038092020,19763712,1,Running
RFSD02280,4038082695,19763713,1,Running
RFSD02282,4038082668,19763715,1,Running
RFSD02283,4038082385,19763716,1,Running
RFSD02284,4038082679,19763717,1,Running
RFSD02285,4038091955,19763718,1,Running
RFSD02286,4038083080,19763719,1,Running
RFSD02287,4038082392,19763720,1,Running
RFSD02288,4038082389,19763721,1,Running
RFSD02289,4038082654,19763722,1,Running
RFSD02290,4038082481,19763723,1,Running
RFSD02291,4038091891,19763724,1,Running
RFSD02292,4038093960,19763725,1,Running
RFSD02293,4038091950,19763726,1,Running
RFSD02294,4038082384,19763727,1,Running
RFSD02295,4038082348,19763728,1,Running
RFSD02296,4038082364,19763729,1,Running
RFSD02297,4038091953,19763730,1,Running
RFSD02298,4038092029,19763731,1,Running
RFSD02299,4038082483,19763732,1,Running
RFSD02300,4038092337,19763733,1,Running
RFSD02301,4038082462,19763734,1,Running
RFSD02302,4038082459,19763735,1,Running
RFSD02303,4038082456,19763736,1,Running
RFSD02304,4038082656,19763737,1,Running
RFSD02305,4038082490,19763738,1,Running
RFSD02306,4038082706,19763739,1,Running
RFSD02307,4038083067,19763740,1,Running
RFSD02308,4038082659,19763741,1,Running
RFSD02309,4038094984,19763742,1,Running
RFSD02310,4038092335,19763743,1,Running
RFSD02311,4038082466,19763744,1,Running
RFSD02312,4038082664,19763745,1,Running
RFSD02313,4038082458,19763746,1,Running
RFSD02314,4038082469,19763747,1,Running
RFSD02315,4038091888,19763748,1,Running
RFSD02316,4038082452,19763749,1,Running
RFSD02317,4038082700,19763750,1,Running
RFSD02318,4038082663,19763751,1,Running
RFSD02319,4038092316,19763752,1,Running
RFSD02320,4038092317,19763753,1,Running
RFSD02321,4038086604,19763754,1,Running
RFSD02322,4038092295,19763755,1,Running
RFSD02323,4038082387,19763756,1,Running
RFSD02324,4038082449,19763757,1,Running
RFSD02325,4038082492,19763758,1,Running
RFSD02326,4038082471,19763759,1,Running
RFSD02328,4038092347,19763761,1,Running
RFSD02329,4038082743,19763762,1,Running
RFSD02330,4038082730,19763763,1,Running
RFSD02331,4038083125,19763764,1,Running
RFSD02332,4038082187,19763765,1,Running
RFSD02333,4038082727,19763766,1,Running
RFSD02334,4038082740,19763767,1,Running
RFSD02335,4038082728,19763768,1,Running
RFSD02336,4038092345,19763769,1,Running
RFSD02337,4038082747,19763770,1,Running
RFSD02338,4038082549,19763771,1,Running
RFSD02339,4038082751,19763772,1,Running
RFSD02340,4038082687,19763773,1,Running
RFSD02341,4038092315,19763774,1,Running
RFSD02342,4038082671,19763775,1,Running
RFSD02343,4038082472,19763776,1,Running
RFSD02344,4038082174,19763777,1,Running
RFSD02345,4038082749,19763778,1,Running
RFSD02346,4038086600,19763779,1,Running
RFSD02347,4038082697,19763780,1,Running
RFSD02348,4038082361,19763781,1,Running
RFSD02349,4038082742,19763782,1,Running
RFSD02350,4038091999,19763783,1,Running
RFSD02351,4038082733,19763784,1,Running
RFSD02352,4038082683,19763785,1,Running
RFSD02353,4038086566,19763786,1,Running
RFSD02354,4038082729,19763787,1,Running
RFSD02355,4038082737,19763788,1,Running
RFSD02356,4038092341,19763789,1,Running
RFSD02357,4038091946,19763790,1,Running
RFSD02358,4038086550,19763791,1,Running
RFSD02359,4038082362,19763792,1,Running
RFSD02360,4038082374,19763793,1,Running
RFSD02361,4038082732,19763794,1,Running
RFSD02362,4038082738,19763795,1,Running
RFSD02363,4038091947,19763796,1,Running
RFSD02364,4038082680,19763797,1,Running
RFSD02365,4038082633,19763798,1,Running
RFSD02366,4038082371,19763799,1,Running
RFSD02367,4038082721,19763800,1,Running
RFSD02368,4038082453,19763801,1,Running
RFSD02369,4038086595,19763802,1,Running
RFSD02370,4038086549,19763803,1,Running
RFSD02371,4038086587,19763804,1,Running
RFSD02372,4038092338,19763805,1,Running
RFSD02373,4038086551,19763806,1,Running
RFSD02374,4038086554,19763807,1,Running
RFSD02375,4038091944,19763808,1,Running
RFSD02376,4038091939,19763809,1,Running
RFSD02377,4038082731,19763810,1,Running
RFSD02378,4038091893,19763811,1,Running
RFSD02380,4038092023,19763813,1,Running
RFSD02381,4038082300,19763814,1,Running
RFSD02382,4038086570,19763815,1,Running
RFSD02383,4038082739,19763816,1,Running
RFSD02384,4038082366,19763817,1,Running
RFSD02385,4038086602,19763818,1,Running
RFSD02386,4038091964,19763819,1,Running
RFSD02387,4038091938,19763820,1,Running
RFSD02388,4038091951,19763821,1,Running
RFSD02389,4038086601,19763822,1,Running
RFSD02390,4038091958,19763823,1,Running
RFSD02391,4038082375,19763824,1,Running
RFSD02392,4038082338,19763825,1,Running
RFSD02393,4038092027,19763826,1,Running
RFSD02394,4038086546,19763827,1,Running
RFSD02395,4038086568,19763828,1,Running
RFSD02396,4038082473,19763829,1,Running
RFSD02397,4038082298,19763830,1,Running
RFSD02398,4038082232,19763831,1,Running
RFSD02399,4038082299,19763832,1,Running
RFSD02400,4038082676,19763833,1,Running
RFSD02401,4038083712,19763834,1,Running
RFSD02402,4038082655,19763835,1,Running
RFSD02403,4038082152,19763836,1,Running
RFSD02404,4038091892,19763837,1,Running
RFSD02405,4038082657,19763838,1,Running
RFSD02406,4038082283,19763839,1,Running
RFSD02407,4038082305,19763840,1,Running
RFSD02408,4038082475,19763841,1,Running
RFSD02409,4038086594,19763842,1,Running
RFSD02410,4038086552,19763843,1,Running
RFSD02411,4038082734,19763844,1,Running
RFSD02412,4038082970,19763845,1,Running
RFSD02413,4038083692,19763846,1,Running
RFSD02414,4038086565,19763847,1,Running
RFSD02416,4038082476,19763849,1,Running
RFSD02417,4038082239,19763850,1,Running
RFSD02418,4038086586,19763851,1,Running
RFSD02419,4038082194,19763852,1,Running
RFSD02420,4038083687,19763853,1,Running
RFSD02421,4038082367,19763854,1,Running
RFSD02422,4038094973,19763855,1,Running
RFSD02423,4038083661,19763856,1,Running
RFSD02424,4038091945,19763857,1,Running
RFSD02425,4038082136,19763858,1,Running
RFSD02426,4038082702,19763859,1,Running
RFSD02427,4038083716,19763860,1,Running
RFSD02428,4038082465,19763861,1,Running
RFSD02430,4038082745,19763863,1,Running
RFSD02431,4038083695,19763864,1,Running
RFSD02432,4038082723,19763865,1,Running
RFSD02433,4038082220,19763866,1,Running
RFSD02434,4038083685,19763867,1,Running
RFSD02435,4038083688,19763868,1,Running
RFSD02436,4038091887,19763869,1,Running
RFSD02438,4038083694,19763871,1,Running
RFSD02439,4038083715,19763872,1,Running
RFSD02440,4038086547,19763873,1,Running
RFSD02441,4038086607,19763874,1,Running
RFSD02442,4038083699,19763875,1,Running
RFSD02443,4038082308,19763876,1,Running
RFSD02444,4038082560,19763877,1,Running
RFSD02445,4038083701,19763878,1,Running
RFSD02447,4038083700,19763880,1,Running
RFSD02448,4038082359,19763881,1,Running
RFSD02449,4038083702,19763882,1,Running
RFSD02450,4038083697,19763883,1,Running
RFSD02451,4038086603,19763884,1,Running
RFSD02452,4038082463,19763885,1,Running
RFSD02453,4038083707,19763886,1,Running
RFSD02454,4038083696,19763887,1,Running
RFSD02455,4038083711,19763888,1,Running
RFSD02456,4038083617,19763889,1,Running
RFSD02457,4038082244,19763890,1,Running
RFSD02458,4038083676,19763891,1,Running
RFSD02459,4038083708,19763892,1,Running
RFSD02460,4038082741,19763893,1,Running
RFSD02461,4038083659,19763894,1,Running
RFSD02462,4038083704,19763895,1,Running
RFSD02463,4038083668,19763896,1,Running
RFSD02464,4038091890,19763897,1,Running
RFSD02465,4038083656,19763898,1,Running
RFSD02466,4038083680,19763899,1,Running
RFSD02469,4038083691,19763902,1,Running
RFSD02470,4038082185,19763903,1,Running
RFSD02471,4038083693,19763904,1,Running
RFSD02472,4038083605,19763905,1,Running
RFSD02473,4038083654,19763906,1,Running
RFSD02474,4038094962,19763907,1,Running
RFSD02475,4038083665,19763908,1,Running
RFSD02476,4038086548,19763909,1,Running
RFSD02477,4038086606,19763910,1,Running
RFSD02478,4038083673,19763911,1,Running
RFSD02480,4038082750,19763913,1,Running
RFSD02481,4038083671,19763914,1,Running
RFSD02482,4038083571,19763915,1,Running
RFSD02483,4038094921,19763916,1,Running
RFSD02484,4038086584,19763917,1,Running
RFSD02485,4038094913,19763918,1,Running
RFSD02486,4038083552,19763919,1,Running
RFSD02487,4038083703,19763920,1,Running
RFSD02488,4038082726,19763921,1,Running
RFSD02489,4038094982,19763922,1,Running
RFSD02490,4038094974,19763923,1,Running
RFSD02491,4038094953,19763924,1,Running
RFSD02492,4038086585,19763925,1,Running
RFSD02494,4038083335,19763927,1,Running
RFSD02495,4038083658,19763928,1,Running
RFSD02496,4038082132,19763929,1,Running
RFSD02497,4038083650,19763930,1,Running
RFSD02498,4038083620,19763931,1,Running
RFSD02499,4038083559,19763932,1,Running
RFSD02500,4038086571,19763933,1,Running
RFSD02501,4038094961,19763934,1,Running
RFSD02502,4038083366,19763935,1,Running
RFSD02503,4038083464,19763936,1,Running
RFSD02504,4038083689,19763937,1,Running
RFSD02505,4038083633,19763938,1,Running
RFSD02506,4038083568,19763939,1,Running
RFSD02507,4038083636,19763940,1,Running
RFSD02508,4038082297,19763941,1,Running
RFSD02509,4038083677,19763942,1,Running
RFSD02511,4038082294,19763944,1,Running
RFSD02512,4038086569,19763945,1,Running
RFSD02513,4038094980,19763946,1,Running
RFSD02514,4038094915,19763947,1,Running
RFSD02515,4038094978,19763948,1,Running
RFSD02516,4038082222,19763949,1,Running
RFSD02517,4038094993,19763950,1,Running
RFSD02518,4038094929,19763951,1,Running
RFSD02519,4038094988,19763952,1,Running
RFSD02520,4038083698,19763953,1,Running
RFSD02521,4038082632,19763954,1,Running
RFSD02523,4038083635,19763956,1,Running
RFSD02524,4038083651,19763957,1,Running
RFSD02525,4038082613,19763958,1,Running
RFSD02526,4038083624,19763959,1,Running
RFSD02527,4038083631,19763960,1,Running
RFSD02528,4038082735,19763961,1,Running
RFSD02529,4038094944,19763962,1,Running
RFSD02530,4038083629,19763963,1,Running
RFSD02531,4038083642,19763964,1,Running
RFSD02533,4038083644,19763966,1,Running
RFSD02534,4038083710,19763967,1,Running
RFSD02535,4038094976,19763968,1,Running
RFSD02536,4038082214,19763969,1,Running
RFSD02537,4038082636,19763970,1,Running
RFSD02538,4038083655,19763971,1,Running
RFSD02539,4038083630,19763972,1,Running
RFSD02540,4038083705,19763973,1,Running
RFSD02541,4038083646,19763974,1,Running
RFSD02542,4038082667,19763975,1,Running
RFSD02544,4038083679,19763977,1,Running
RFSD02546,4038083645,19763979,1,Running
RFSD02547,4038092301,19763980,1,Running
RFSD02548,4038083516,19763981,1,Running
RFSD02549,4038083681,19763982,1,Running
RFSD02550,4038083684,19763983,1,Running
RFSD02552,4038082303,19763985,1,Running
RFSD02553,4038082650,19763986,1,Running
RFSD02554,4038094956,19763987,1,Running
RFSD02555,4038082646,19763988,1,Running
RFSD02556,4038082296,19763989,1,Running
RFSD02557,4038082640,19763990,1,Running
RFSD02558,4038083634,19763991,1,Running
RFSD02559,4038083678,19763992,1,Running
RFSD02560,4038091885,19763993,1,Running
RFSD02561,4038082670,19763994,1,Running
RFSD02562,4038082615,19763995,1,Running
RFSD02564,4038094968,19763997,1,Running
RFSD02565,4038105694,19763998,1,Running
RFSD02566,4038105721,19763999,1,Running
RFSD02567,4038105705,19764000,1,Running
RFSD02568,4038083672,19764001,1,Running
RFSD02569,4038105702,19764002,1,Running
RFSD02571,4038105698,19764004,1,Running
RFSD02572,4038083493,19764005,1,Running
RFSD02574,4038105677,19764007,1,Running
RFSD02575,4038082628,19764008,1,Running
RFSD02576,4038083379,19764009,1,Running
RFSD02577,4038082353,19764010,1,Running
RFSD02578,4038105699,19764011,1,Running
RFSD02579,4038082117,19764012,1,Running
RFSD02580,4038083375,19764013,1,Running
RFSD02581,4038082644,19764014,1,Running
RFSD02583,4038082228,19764016,1,Running
RFSD02585,4038105688,19764018,1,Running
RFSD02586,4038101509,19764019,1,Running
RFSD02588,4038082236,19764021,1,Running
RFSD02589,4038083628,19764022,1,Running
RFSD02590,4038082253,19764023,1,Running
RFSD02591,4038082641,19764024,1,Running
RFSD02592,4038094991,19764025,1,Running
RFSD02593,4038083648,19764026,1,Running
RFSD02594,4038082573,19764027,1,Running
RFSD02595,4038083044,19764028,1,Running
RFSD02596,4038083486,19764029,1,Running
RFSD02597,4038105687,19764030,1,Running
RFSD02598,4038083216,19764031,1,Running
RFSD02599,4038083686,19764032,1,Running
RFSD02600,4038082631,19764033,1,Running
RFSD02601,4038083713,19764034,1,Running
RFSD02602,4038082649,19764035,1,Running
RFSD02603,4038083640,19764036,1,Running
RFSD02604,4038105697,19764037,1,Running
RFSD02605,4038083638,19764038,1,Running
RFSD02606,4038083623,19764039,1,Running
RFSD02608,4038091908,19764041,1,Running
RFSD02609,4038083091,19764042,1,Running
RFSD02611,4038083643,19764044,1,Running
RFSD02612,4038086553,19764045,1,Running
RFSD02613,4038083663,19764046,1,Running
RFSD02614,4038083657,19764047,1,Running
RFSD02615,4038083706,19764048,1,Running
RFSD02616,4038082225,19764049,1,Running
RFSD02617,4038105681,19764050,1,Running
RFSD02618,4038082630,19764051,1,Running
RFSD02619,4038092292,19764052,1,Running
RFSD02621,4038092278,19764054,1,Running
RFSD02623,4038083074,19764056,1,Running
RFSD02624,4038082248,19764057,1,Running
RFSD02625,4038092285,19764058,1,Running
RFSD02626,4038082251,19764059,1,Running
RFSD02627,4038105703,19764060,1,Running
RFSD02628,4038082642,19764061,1,Running
RFSD02629,4038092308,19764062,1,Running
RFSD02630,4038082652,19764063,1,Running
RFSD02631,4038083625,19764064,1,Running
RFSD02632,4038082556,19764065,1,Running
RFSD02633,4038105722,19764066,1,Running
RFSD02634,4038105680,19764067,1,Running
RFSD02635,4038094927,19764068,1,Running
RFSD02636,4038092293,19764069,1,Running
RFSD02637,4038082653,19764070,1,Running
RFSD02638,4038083058,19764071,1,Running
RFSD02639,4038083653,19764072,1,Running
RFSD02640,4038082268,19764073,1,Running
RFSD02641,4038105679,19764074,1,Running
RFSD02642,4038082217,19764075,1,Running
RFSD02643,4038092271,19764076,1,Running
RFSD02644,4038105718,19764077,1,Running
RFSD02645,4038082233,19764078,1,Running
RFSD02646,4038082224,19764079,1,Running
RFSD02647,4038092305,19764080,1,Running
RFSD02648,4038083048,19764081,1,Running
RFSD02649,4038092302,19764082,1,Running
RFSD02650,4038105684,19764083,1,Running
RFSD02651,4038092313,19764084,1,Running
RFSD02652,4038083064,19764085,1,Running
RFSD02653,4038094908,19764086,1,Running
RFSD02654,4038082638,19764087,1,Running
RFSD02655,4038092291,19764088,1,Running
RFSD02657,4038092288,19764090,1,Running
RFSD02658,4038091962,19764091,1,Running
RFSD02659,4038092314,19764092,1,Running
RFSD02660,4038092287,19764093,1,Running
RFSD02661,4038092299,19764094,1,Running
RFSD02662,4038105712,19764095,1,Running
RFSD02663,4038083652,19764096,1,Running
RFSD02664,4038092307,19764097,1,Running
RFSD02665,4038092321,19764098,1,Running
RFSD02666,4038092303,19764099,1,Running
RFSD02667,4038082230,19764100,1,Running
RFSD02668,4038092290,19764101,1,Running
RFSD02669,4038092312,19764102,1,Running
RFSD02670,4038092296,19764103,1,Running
RFSD02671,4038092276,19764104,1,Running
RFSD02672,4038083690,19764105,1,Running
RFSD02673,4038083662,19764106,1,Running
RFSD02674,4038083683,19764107,1,Running
RFSD02675,4038083664,19764108,1,Running
RFSD02676,4038082341,19764109,1,Running
RFSD02677,4038086561,19764110,1,Running
RFSD02678,4038082647,19764111,1,Running
RFSD02679,4038083682,19764112,1,Running
RFSD02680,4038094989,19764113,1,Running
RFSD02681,4038082306,19764114,1,Running
RFSD02682,4038092294,19764115,1,Running
RFSD02683,4038082620,19764116,1,Running
RFSD02684,4038082660,19764117,1,Running
RFSD02685,4038083649,19764118,1,Running
RFSD02686,4038083670,19764119,1,Running
RFSD02687,4038083674,19764120,1,Running
RFSD02688,4038083667,19764121,1,Running
RFSD02689,4038082158,19764122,1,Running
RFSD02690,4038083709,19764123,1,Running
RFSD02691,4038105701,19764124,1,Running
RFSD02692,4038092306,19764125,1,Running
RFSD02693,4038094920,19764126,1,Running
RFSD02694,4038086528,19764127,1,Running
RFSD02695,4038094008,19764128,1,Running
RFSD02696,4038083544,19764129,1,Running
RFSD02697,4038093886,19764130,1,Running
RFSD02698,4038094716,19764131,1,Running
RFSD02700,4038095060,19764133,1,Running
RFSD02701,4038094959,19764134,1,Running
RFSD02702,4038095036,19764135,1,Running
RFSD02703,4038095112,19764136,1,Running
RFSD02704,4038094999,19764137,1,Running
RFSD02707,4038105745,19764140,1,Running
RFSD02708,4038101114,19764141,1,Running
RFSD02709,4038094977,19764142,1,Running
RFSD02710,4038095012,19764143,1,Running
RFSD02711,4038095037,19764144,1,Running
RFSD02712,4038101099,19764145,1,Running
RFSD02713,4038101929,19764146,1,Running
RFSD02714,4038101110,19764147,1,Running
RFSD02715,4038101549,19764148,1,Running
RFSD02716,4038101011,19764149,1,Running
RFSD02717,4038095128,19764150,1,Running
RFSD02718,4038101050,19764151,1,Running
RFSD02719,4038095109,19764152,1,Running
RFSD02720,4038101039,19764153,1,Running
RFSD02721,4038101015,19764154,1,Running
RFSD02722,4038101244,19764155,1,Running
RFSD02723,4038095124,19764156,1,Running
RFSD02724,4038094759,19764157,1,Running
RFSD02725,4038095079,19764158,1,Running
RFSD02726,4038100314,19764159,1,Running
RFSD02727,4038095110,19764160,1,Running
RFSD02728,4038095111,19764161,1,Running
RFSD02729,4038101034,19764162,1,Running
RFSD02731,4038094983,19764164,1,Running
RFSD02732,4038101024,19764165,1,Running
RFSD02733,4038095016,19764166,1,Running
RFSD02734,4038095122,19764167,1,Running
RFSD02735,4038101046,19764168,1,Running
RFSD02736,4038100313,19764169,1,Running
RFSD02737,4038095108,19764170,1,Running
RFSD02738,4038095115,19764171,1,Running
RFSD02739,4038100371,19764172,1,Running
RFSD02740,4038101017,19764173,1,Running
RFSD02741,4038095025,19764174,1,Running
RFSD02742,4038095002,19764175,1,Running
RFSD02743,4038094881,19764176,1,Running
RFSD02744,4038100357,19764177,1,Running
RFSD02746,4038101249,19764179,1,Running
RFSD02747,4038095125,19764180,1,Running
RFSD02749,4038100331,19764182,1,Running
RFSD02751,4038101528,19764184,1,Running
RFSD02752,4038095179,19764185,1,Running
RFSD02753,4038100324,19764186,1,Running
RFSD02755,4038095132,19764188,1,Running
RFSD02756,4038101095,19764189,1,Running
RFSD02757,4038100315,19764190,1,Running
RFSD02758,4038100363,19764191,1,Running
RFSD02759,4038100361,19764192,1,Running
RFSD02760,4038095185,19764193,1,Running
RFSD02761,4038095208,19764194,1,Running
RFSD02762,4038101859,19764195,1,Running
RFSD02763,4038095198,19764196,1,Running
RFSD02764,4038101245,19764197,1,Running
RFSD02765,4038095044,19764198,1,Running
RFSD02766,4038101045,19764199,1,Running
RFSD02767,4038095121,19764200,1,Running
RFSD02768,4038095194,19764201,1,Running
RFSD02769,4038095137,19764202,1,Running
RFSD02770,4038095212,19764203,1,Running
RFSD02771,4038094985,19764204,1,Running
RFSD02772,4038095161,19764205,1,Running
RFSD02773,4038100326,19764206,1,Running
RFSD02774,4038095197,19764207,1,Running
RFSD02775,4038095186,19764208,1,Running
RFSD02776,4038095192,19764209,1,Running
RFSD02777,4038101908,19764210,1,Running
RFSD02778,4038095169,19764211,1,Running
RFSD02779,4038095166,19764212,1,Running
RFSD02780,4038095203,19764213,1,Running
RFSD02781,4038095200,19764214,1,Running
RFSD02782,4038095177,19764215,1,Running
RFSD02783,4038095059,19764216,1,Running
RFSD02784,4038101934,19764217,1,Running
RFSD02785,4038101530,19764218,1,Running
RFSD02786,4038101916,19764219,1,Running
RFSD02787,4038105671,19764220,1,Running
RFSD02789,4038105673,19764222,1,Running
RFSD02790,4038101023,19764223,1,Running
RFSD02792,4038101912,19764225,1,Running
RFSD02793,4038095191,19764226,1,Running
RFSD02795,4038095153,19764228,1,Running
RFSD02797,4038095174,19764230,1,Running
RFSD02798,4038101911,19764231,1,Running
RFSD02800,4038095019,19764233,1,Running
RFSD02801,4038101027,19764234,1,Running
RFSD02802,4038094975,19764235,1,Running
RFSD02803,4038105747,19764236,1,Running
RFSD02804,4038095209,19764237,1,Running
RFSD02805,4038101939,19764238,1,Running
RFSD02806,4038101572,19764239,1,Running
RFSD02807,4038101902,19764240,1,Running
RFSD02808,4038095274,19764241,1,Running
RFSD02809,4038094996,19764242,1,Running
RFSD02810,4038095223,19764243,1,Running
RFSD02811,4038095283,19764244,1,Running
RFSD02812,4038105660,19764245,1,Running
RFSD02814,4038105753,19764247,1,Running
RFSD02816,4038101926,19764249,1,Running
RFSD02817,4038101857,19764250,1,Running
RFSD02819,4038101028,19764252,1,Running
RFSD02820,4038095172,19764253,1,Running
RFSD02821,4038105739,19764254,1,Running
RFSD02822,4038105748,19764255,1,Running
RFSD02823,4038095164,19764256,1,Running
RFSD02824,4038105754,19764257,1,Running
RFSD02826,4038105764,19764259,1,Running
RFSD02827,4038105675,19764260,1,Running
RFSD02828,4038105760,19764261,1,Running
RFSD02829,4038101873,19764262,1,Running
RFSD02830,4038101537,19764263,1,Running
RFSD02831,4038101256,19764264,1,Running
RFSD02832,4038105750,19764265,1,Running
RFSD02833,4038101524,19764266,1,Running
RFSD02834,4038105736,19764267,1,Running
RFSD02835,4038101543,19764268,1,Running
RFSD02836,4038095235,19764269,1,Running
RFSD02837,4038095229,19764270,1,Running
RFSD02838,4038101529,19764271,1,Running
RFSD02839,4038095242,19764272,1,Running
RFSD02840,4038105658,19764273,1,Running
RFSD02841,4038101266,19764274,1,Running
RFSD02842,4038095357,19764275,1,Running
RFSD02843,4038105923,19764276,1,Running
RFSD02844,4038101006,19764277,1,Running
RFSD02845,4038105651,19764278,1,Running
