A,B,C,D,E
RFSD00562,4039072981,19761949,1,Running
RFSD00563,4039201601,19761950,1,Running
RFSD00564,4039201476,19761951,1,Running
RFSD00565,4039201462,19761952,1,Running
RFSD00566,4039201316,19761953,1,Running
RFSD00567,4039201435,19761954,1,Running
RFSD00569,4038005376,19761956,1,Running
RFSD00570,4039073194,19761957,1,Running
RFSD00572,4039201621,19761959,1,Running
RFSD00575,4039152685,19761962,1,Running
RFSD00576,4039072990,19761963,1,Running
RFSD00577,4039072759,19761964,1,Running
RFSD00578,4039201866,19761965,1,Running
RFSD00579,4039201528,19761966,1,Running
RFSD00580,4039201734,19761967,1,Running
RFSD00581,4039201458,19761968,1,Running
RFSD00582,4039201471,19761969,1,Running
RFSD00584,4039201926,19761971,1,Running
RFSD00585,4039201618,19761972,1,Running
RFSD00586,4039073109,19761973,1,Running
RFSD00587,4039073193,19761974,1,Running
RFSD00588,4039073113,19761975,1,Running
RFSD00589,4039201736,19761976,1,Running
RFSD00590,4039201777,19761977,1,Running
RFSD00591,4039201830,19761978,1,Running
RFSD00592,4038005335,19761979,1,Running
RFSD00593,4039201260,19761980,1,Running
RFSD00594,4039073212,19761981,1,Running
RFSD00595,4039073207,19761982,1,Running
RFSD00596,4039073189,19761983,1,Running
RFSD00597,4039201766,19761984,1,Running
RFSD00598,4039073213,19761985,1,Running
RFSD00599,4039201541,19761986,1,Running
RFSD00600,4039201859,19761987,1,Running
RFSD00601,4039201623,19761988,1,Running
RFSD00602,4039181788,19761989,1,Running
RFSD00603,4039201499,19761990,1,Running
RFSD00604,4039201743,19761991,1,Running
RFSD00605,4039201794,19761992,1,Running
RFSD00606,4039180789,19761993,1,Running
RFSD00607,4039201488,19761994,1,Running
RFSD00608,4039201282,19761995,1,Running
RFSD00610,4039201808,19761997,1,Running
RFSD00611,4039181519,19761998,1,Running
RFSD00612,4038005353,19761999,1,Running
RFSD00614,4039201796,19762001,1,Running
RFSD00615,4039201484,19762002,1,Running
RFSD00616,4039201624,19762003,1,Running
RFSD00617,4039201861,19762004,1,Running
RFSD00618,4039201716,19762005,1,Running
RFSD00619,4039201822,19762006,1,Running
RFSD00620,4039201611,19762007,1,Running
RFSD00622,4039201783,19762009,1,Running
RFSD00624,4039201800,19762011,1,Running
RFSD00625,4039201630,19762012,1,Running
RFSD00626,4039201841,19762013,1,Running
RFSD00627,4039201837,19762014,1,Running
RFSD00628,4039201480,19762015,1,Running
RFSD00629,4039201613,19762016,1,Running
RFSD00630,4039180936,19762017,1,Running
RFSD00631,4039181760,19762018,1,Running
RFSD00632,4039201843,19762019,1,Running
RFSD00633,4039201854,19762020,1,Running
RFSD00634,4039201852,19762021,1,Running
RFSD00635,4039201815,19762022,1,Running
RFSD00636,4039201779,19762023,1,Running
RFSD00637,4039201707,19762024,1,Running
RFSD00638,4039201791,19762025,1,Running
RFSD00639,4039201873,19762026,1,Running
RFSD00640,4039201814,19762027,1,Running
RFSD00641,4039201864,19762028,1,Running
RFSD00642,4039201917,19762029,1,Running
RFSD00643,4039181777,19762030,1,Running
RFSD00644,4039199650,19762031,1,Running
RFSD00645,4039201769,19762032,1,Running
RFSD00646,4039201485,19762033,1,Running
RFSD00647,4039201764,19762034,1,Running
RFSD00648,4039201516,19762035,1,Running
RFSD00649,4039201608,19762036,1,Running
RFSD00650,4039201711,19762037,1,Running
RFSD00651,4039201753,19762038,1,Running
RFSD00652,4039201615,19762039,1,Running
RFSD00653,4039180845,19762040,1,Running
RFSD00654,4039201834,19762041,1,Running
RFSD00655,4039201268,19762042,1,Running
RFSD00656,4039201619,19762043,1,Running
RFSD00657,4039180733,19762044,1,Running
RFSD00658,4039201782,19762045,1,Running
RFSD00659,4039201664,19762046,1,Running
RFSD00660,4039201835,19762047,1,Running
RFSD00661,4039201443,19762048,1,Running
RFSD00662,4039201805,19762049,1,Running
RFSD00663,4039180918,19762050,1,Running
RFSD00664,4039201570,19762051,1,Running
RFSD00665,4039201809,19762052,1,Running
RFSD00666,4039201853,19762053,1,Running
RFSD00667,4039201639,19762054,1,Running
RFSD00668,4039201551,19762055,1,Running
RFSD00669,4037809542,19762056,1,Running
RFSD00670,4038087592,19762057,1,Running
RFSD00671,4037801124,19762058,1,Running
RFSD00672,4039201817,19762059,1,Running
RFSD00674,4037809451,19762061,1,Running
RFSD00675,4037676011,19762062,1,Running
RFSD00676,4037801255,19762063,1,Running
RFSD00677,4037809576,19762064,1,Running
RFSD00678,4037828869,19762065,1,Running
RFSD00679,4038087591,19762066,1,Running
RFSD00681,4037801247,19762068,1,Running
RFSD00682,4038087389,19762069,1,Running
RFSD00683,4039201803,19762070,1,Running
RFSD00684,4037828905,19762071,1,Running
RFSD00685,4037828900,19762072,1,Running
RFSD00686,4037828866,19762073,1,Running
RFSD00687,4037828760,19762074,1,Running
RFSD00688,4042679622,19775950,1,Running
RFSD00689,4037828913,19762076,1,Running
RFSD00690,4037828846,19762077,1,Running
RFSD00691,4037828865,19762078,1,Running
RFSD00692,4037676137,19762079,1,Running
RFSD00693,4037801175,19762080,1,Running
RFSD00694,4037809566,19762081,1,Running
RFSD00695,4037801185,19762082,1,Running
RFSD00696,4037808271,19762083,1,Running
RFSD00697,4037828839,19762084,1,Running
RFSD00698,4038087398,19762085,1,Running
RFSD00700,4038087385,19762087,1,Running
RFSD00702,4037828867,19762089,1,Running
RFSD00704,4039073048,19762091,1,Running
RFSD00705,4037676159,19762092,1,Running
RFSD00706,4039201591,19762093,1,Running
RFSD00707,4037828837,19762094,1,Running
RFSD00708,4037809393,19762095,1,Running
RFSD00709,4037828883,19762096,1,Running
RFSD00711,4038087378,19762098,1,Running
RFSD00712,4037828852,19762099,1,Running
RFSD00714,4037828876,19762101,1,Running
RFSD00715,4038087553,19762102,1,Running
RFSD00716,4037809565,19762103,1,Running
RFSD00717,4038087594,19762104,1,Running
RFSD00718,4038087572,19762105,1,Running
RFSD00719,4047768536,19776591,1,Running
RFSD00721,4038087549,19762108,1,Running
RFSD00722,4038079690,19762109,1,Running
RFSD00723,4038087330,19762110,1,Running
RFSD00724,4038087545,19762111,1,Running
RFSD00725,4037828740,19762112,1,Running
RFSD00726,4038087357,19762113,1,Running
RFSD00727,4038087607,19762114,1,Running
RFSD00728,4037828916,19762115,1,Running
RFSD00729,4038087293,19762116,1,Running
RFSD00730,4038087381,19762117,1,Running
RFSD00732,4038079725,19762119,1,Running
RFSD00733,4038087546,19762120,1,Running
RFSD00734,4038087369,19762121,1,Running
RFSD00735,4038079689,19762122,1,Running
RFSD00736,4038087365,19762123,1,Running
RFSD00738,4038079742,19762125,1,Running
RFSD00739,4038079692,19762126,1,Running
RFSD00740,4037676068,19762127,1,Running
RFSD00741,4038087595,19762128,1,Running
RFSD00742,4038087374,19762129,1,Running
RFSD00744,4038087295,19762131,1,Running
RFSD00745,4037828856,19762132,1,Running
RFSD00746,4037828828,19762133,1,Running
RFSD00747,4037809521,19762134,1,Running
RFSD00748,4038087300,19762135,1,Running
RFSD00749,4038087388,19762136,1,Running
RFSD00750,4037828853,19762137,1,Running
RFSD00751,4037809531,19762138,1,Running
RFSD00752,4037828870,19762139,1,Running
RFSD00753,4037809501,19762140,1,Running
RFSD00754,4037829401,19762141,1,Running
RFSD00755,4037828836,19762142,1,Running
RFSD00756,4038079735,19762143,1,Running
RFSD00757,4038087360,19762144,1,Running
RFSD00758,4037809506,19762145,1,Running
RFSD00759,4037801272,19762146,1,Running
RFSD00760,4037828863,19762147,1,Running
RFSD00761,4046713817,19776577,1,Running
RFSD00762,4037809390,19762149,1,Running
RFSD00763,4038087275,19762150,1,Running
RFSD00764,4038087550,19762151,1,Running
RFSD00765,4037828849,19762152,1,Running
RFSD00766,4037828858,19762153,1,Running
RFSD00767,4037828762,19762154,1,Running
RFSD00768,4037809529,19762155,1,Running
RFSD00769,4038087531,19762156,1,Running
RFSD00771,4037809420,19762158,1,Running
RFSD00772,4038087290,19762159,1,Running
RFSD00773,4038087362,19762160,1,Running
RFSD00775,4038087373,19762162,1,Running
RFSD00777,4038087587,19762164,1,Running
RFSD00778,4038087583,19762165,1,Running
RFSD00779,4038087588,19762166,1,Running
RFSD00780,4037809551,19762167,1,Running
RFSD00781,4038087569,19762168,1,Running
RFSD00782,4038087573,19762169,1,Running
RFSD00783,4037829405,19762170,1,Running
RFSD00784,4038087605,19762171,1,Running
RFSD00785,4038087364,19762172,1,Running
RFSD00786,4037809579,19762173,1,Running
RFSD00787,4037809386,19762174,1,Running
RFSD00789,4038087585,19762176,1,Running
RFSD00790,4038087535,19762177,1,Running
RFSD00791,4038087343,19762178,1,Running
RFSD00792,4038087376,19762179,1,Running
RFSD00793,4037809519,19762180,1,Running
RFSD00794,4037829359,19762181,1,Running
RFSD00795,4037809503,19762182,1,Running
RFSD00796,4039201855,19762183,1,Running
RFSD00797,4038087612,19762184,1,Running
RFSD00798,4038087358,19762185,1,Running
RFSD00799,4038087370,19762186,1,Running
RFSD00801,4037801206,19762188,1,Running
RFSD00802,4037801257,19762189,1,Running
RFSD00803,4038079718,19762190,1,Running
RFSD00805,4037809532,19762192,1,Running
RFSD00806,4037801242,19762193,1,Running
RFSD00807,4037808272,19762194,1,Running
RFSD00808,4039201117,19762195,1,Running
RFSD00809,4037828759,19762196,1,Running
RFSD00810,4037828753,19762197,1,Running
RFSD00811,4037828735,19762198,1,Running
RFSD00812,4038087548,19762199,1,Running
RFSD00813,4038087532,19762200,1,Running
RFSD00814,4038087366,19762201,1,Running
RFSD00815,4038087392,19762202,1,Running
RFSD00816,4037828878,19762203,1,Running
RFSD00817,4037809510,19762204,1,Running
RFSD00818,4037801249,19762205,1,Running
RFSD00819,4037801274,19762206,1,Running
RFSD00820,4038087609,19762207,1,Running
RFSD00821,4037809581,19762208,1,Running
RFSD00822,4038079720,19762209,1,Running
RFSD00823,4037801251,19762210,1,Running
RFSD00824,4037846822,19762211,1,Running
RFSD00825,4037846783,19762212,1,Running
RFSD00826,4037828758,19762213,1,Running
RFSD00827,4037828875,19762214,1,Running
RFSD00828,4037801205,19762215,1,Running
