"Meter","Serial Number","Status","Address","City","Cycle","Collector","Service Latitude","Service Longitude","Module FW","Meter FW","Layer","LAst Billable","Hardware Model ID","DCW","Last Path"
"168110040","4029803184","Normal","5887 HWY 167","BUNKIE","15","PINE PRAIRIE GAP",30.845058,-92.364843,"251284-09.18","05.37",6,26-MAR-19,65563,"2001.09.15","2155070461,2155075496,2155074853,2155075110,2155075340,2155075091,4029803184"
"168121632","4036646757","Normal","44 LONG JOHN CIR","FLORIEN","13","Raw Land 62 Gap",31.278178,-93.580553,"251284-09.18","05.37",5,08-APR-19,65563,"2001.09.15","2155070492,2155077833,4032158183,4029955879,4029948030,2155077257,4029944912,4036646757"
"168067009","1343064092","Normal","2206 DUBOIN RD 1","NEW IBERIA","10","NISC MW",29.96107,-91.83046,"251581-08.08","05.34",3,06-MAY-16,65562,"1F0D.08.06","2155073704,2155081174,4029509615,4029574763,1343064092"
"168048531","4029530445","Normal","3314 OLD JEANERETTE RD","NEW IBERIA","10","NISC MW",29.98577,-91.7672,"251284-09.18","05.37",2,19-MAR-19,65563,"2001.09.15","2155073541,4029976798,4029530445"
"168010644","4029588620","Normal","993 COUVILLION ST","MOREAUVILLE","01","MANSURA INDUSTRIAL",31.038545,-91.978997,"251284-09.18","05.37",2,06-APR-19,65563,"2001.09.15","2155073549,2155075237,4029588620"
"168274263","4036737668","Normal","514 MARILYN DR","MANDEVILLE","13","Lambert GAP",30.371982,-90.09149,"251284-09.18","05.37",4,18-MAR-19,65563,"2001.09.15","2155075658,2155237288,4036785100,4036737668"
"168004142","4028902138","Normal","1502 E MEDALIST DR","PINEVILLE","11","SHERWOOD",31.409504,-92.480751,"251284-09.18","05.37",2,26-MAR-19,65563,"2001.09.15","2155058771,4029582920,4028902138"
"168086862","4029719518","Normal","1022 CHRIS XING LOT 101","WOODWORTH","13","COULEE CROSSING GAP",31.176837,-92.501948,"251284-09.18","05.37",2,07-APR-19,65563,"2001.09.15","2155070513,4029719518"
"168004647","4028898383","Normal","1305 THIRD ST","PINEVILLE","7","SHERWOOD",31.38514,-92.429153,"251284-09.18","05.37",7,02-APR-19,65563,"2001.09.15","2155058769,2155073841,2155059219,2155059213,4028900573,4028904484,4028898383"
"168006769","4028901184","Normal","3792 B HIGHWAY 8","POLLOCK","12","POLLOCK GAP",31.517312,-92.408057,"251284-09.18","05.37",2,03-APR-19,65563,"2001.09.15","2155048891,4028901184"
"168001295","4028900747","Normal","729 TIOGA RD","BALL","08","SHERWOOD",31.387892,-92.421249,"251284-09.18","05.37",5,04-MAR-19,65563,"2001.09.15","2155058764,2155073841,2155059219,2155059213,2155059187,4028900446,4028900747"
"168007494","4028899689","Lost","2 MUDDY BAYOU","DEVILLE","14","RAW LAND 69 GAP",31.36931,-92.05355,"251284-09.18","05.37",5,01-MAR-19,65563,"2001.09.15","2155070491,2155074168,2155073702,2155073701,2155073930,2155074016,2155073660,4029583597,4028899689"
"168007449","4028903911","Lost","853 HUNT RD","DEVILLE","14","RAW LAND 69 GAP",31.42511,-92.00757,"251284-09.18","05.37",2,01-MAR-19,65563,"2001.09.15","2155070491,2155074358,4028903911"
"168001025","4028897781","Normal","706 SHANGHAI RD","BALL","08","BEAVER CREEK MW GAP",31.406245,-92.401155,"251284-09.18","05.37",8,03-APR-19,65563,"2001.09.15","2155070646,2155059228,2155059258,2155073436,4029511005,4028897781"
"168002484","4028902762","Normal","3321 CAMP HARDTNER RD","POLLOCK","10","POLLOCK GAP",31.602943,-92.41182,"251284-09.18","05.37",5,02-APR-19,65563,"2001.09.15","2155048891,2155059256,2155059268,2155059238,4028902762"
"168004243","4028898255","Normal","1711 TUMINELLO DR SHOP","PINEVILLE","12","SHERWOOD",31.401325,-92.447098,"251284-09.18","05.37",4,03-APR-19,65563,"2001.09.15","2155058769,2155073841,2155059219,4028901273,4028898255"
"168002604","4028899353","Normal","1405 HIGHWAY 1204 LOT 9","PINEVILLE","09","SHERWOOD",31.414737,-92.435125,"251284-09.18","05.37",7,31-MAR-19,65563,"2001.09.15","2155058771,2155073841,2155059219,2155059235,4042918496,4028899353"
"168003880","4028898020","Normal","144 JK SIMMONS","POLLOCK","11","SHERWOOD",31.459593,-92.41968,"251284-09.18","05.37",4,23-FEB-19,65563,"2001.09.15","2155058771,2155059218,2155059181,4029724206,4028898020"
"168007237","4028903557","Normal","116 MYLEE DR","BALL","11","BEAVER CREEK MW GAP",31.415713,-92.407773,"251284-09.18","05.37",4,10-APR-19,65563,"2001.09.15","2155070646,2155059228,2155059249,2155073390,4028903557"
"168005504","4028901657","Normal","133 KIWANIS CAMP RD","PINEVILLE","09","SHERWOOD",31.405463,-92.458408,"251284-09.18","05.37",4,15-FEB-19,65563,"2001.09.15","2155058763,2155059286,4028901930,4028901657"
"168007352","4028903901","Lost","MUDDY BAYOU 2ND","PINEVILLE","14","RAW LAND 69 GAP",31.37298,-92.05055,"251284-09.18","05.37",6,01-MAR-19,65563,"2001.09.15","2155070491,2155074168,2155073702,2155073701,2155073930,2155074016,2155073660,4028903901"
"168028123","4029502609","Normal","120 STOCK LANDING RD","DEVILLE","15","DEVILLE",31.432592,-92.176015,"251284-09.18","05.37",9,07-APR-19,65563,"2001.09.15","2155038306,2155073614,2155074208,4038413326,4036760949,2155080009,4029502609"
"168024783","4029520456","Normal","928 ASH ST","COLFAX","04","Colfax MW Gap",31.522008,-92.704548,"251284-09.18","05.37",2,04-APR-19,65563,"2001.09.15","2155078213,4029589566,4029520456"
"168007351","4028903907","Lost","480 COLUMBUS RD","PINEVILLE","14","RAW LAND 69 GAP",31.37298,-92.05116,"251284-09.18","05.37",6,01-MAR-19,65563,"2001.09.15","2155070491,2155074168,2155073702,2155073701,2155073930,2155074016,4036756950,2155073660,4028903907"
"168019359","4029513471","Normal","1008 SCHILLING DR # A","ALEXANDRIA","13","ENGLAND AIRPARK",31.317967,-92.525848,"251284-09.18","05.37",2,14-MAR-19,65563,"2001.09.15","2155078105,4029518738,4029513471"
"168018023","4029517889","Normal","1502 COLLEGE DR","PINEVILLE","01","PGOMW",31.329912,-92.423807,"251284-09.18","05.37",2,12-MAR-19,65563,"2001.09.15","2155038361,4029523130,4029517889"
"168039438","4029505527","Normal","7072 LEACH RD","ROSEPINE","14","RAW LAND 84 GAP",30.912652,-93.28631,"251284-09.18","05.37",2,02-MAR-19,65563,"2001.09.15","2155070506,4036641246,4029505527"
"168040770","4029504962","Normal","641 S BELLE CIR STE D","BREAUX BRIDGE","6","BREAUX BRIDGE GAP",30.27941,-91.89814,"251284-09.18","05.37",2,05-APR-19,65563,"2001.09.15","2155074536,4029983726,4029504962"
"168043757","4029528430","Normal","4514 E ADMIRAL DOYLE DR","NEW IBERIA","10","NISC MW",29.962025,-91.770818,"251284-09.18","05.37",2,14-MAR-19,65563,"2001.09.15","2155073541,4032884222,4029528430"
"168046092","4029508887","Normal","205 NANCY ST","NEW IBERIA","10","NISC MW",29.990183,-91.770682,"251284-09.18","05.37",2,05-APR-19,65563,"2001.09.15","2155073541,4029976798,4029508887"
"168047761","4029509766","Normal","2989 MESSINA RD","BOYCE","06","ROPS Common - RC55",31.2767,-92.6025,"251284-09.18","05.37",4,24-MAR-19,65563,"2001.09.15","2155070483,2155073839,4029518762,4029509766"
